날짜,CD91일금리,항목명,단위
2017-01-19,1.49,CD(91일),연%
2017-01-20,1.49,CD(91일),연%
2017-01-23,1.49,CD(91일),연%
2017-01-24,1.49,CD(91일),연%
2017-01-25,1.49,CD(91일),연%
2017-01-26,1.49,CD(91일),연%
2017-01-31,1.49,CD(91일),연%
2017-02-01,1.49,CD(91일),연%
2017-02-02,1.49,CD(91일),연%
2017-02-03,1.49,CD(91일),연%
2017-02-06,1.49,CD(91일),연%
2017-02-07,1.49,CD(91일),연%
2017-02-08,1.49,CD(91일),연%
2017-02-09,1.49,CD(91일),연%
2017-02-10,1.49,CD(91일),연%
2017-02-13,1.49,CD(91일),연%
2017-02-14,1.49,CD(91일),연%
2017-02-15,1.49,CD(91일),연%
2017-02-16,1.49,CD(91일),연%
2017-02-17,1.49,CD(91일),연%
2017-02-20,1.49,CD(91일),연%
2017-02-21,1.49,CD(91일),연%
2017-02-22,1.49,CD(91일),연%
2017-02-23,1.49,CD(91일),연%
2017-02-24,1.49,CD(91일),연%
2017-02-27,1.49,CD(91일),연%
2017-02-28,1.49,CD(91일),연%
2017-03-02,1.49,CD(91일),연%
2017-03-03,1.49,CD(91일),연%
2017-03-06,1.49,CD(91일),연%
2017-03-07,1.49,CD(91일),연%
2017-03-08,1.49,CD(91일),연%
2017-03-09,1.49,CD(91일),연%
2017-03-10,1.49,CD(91일),연%
2017-03-13,1.49,CD(91일),연%
2017-03-14,1.49,CD(91일),연%
2017-03-15,1.49,CD(91일),연%
2017-03-16,1.48,CD(91일),연%
2017-03-17,1.48,CD(91일),연%
2017-03-20,1.48,CD(91일),연%
2017-03-21,1.48,CD(91일),연%
2017-03-22,1.48,CD(91일),연%
2017-03-23,1.47,CD(91일),연%
2017-03-24,1.47,CD(91일),연%
2017-03-27,1.47,CD(91일),연%
2017-03-28,1.47,CD(91일),연%
2017-03-29,1.45,CD(91일),연%
2017-03-30,1.45,CD(91일),연%
2017-03-31,1.45,CD(91일),연%
2017-04-03,1.45,CD(91일),연%
2017-04-04,1.45,CD(91일),연%
2017-04-05,1.45,CD(91일),연%
2017-04-06,1.45,CD(91일),연%
2017-04-07,1.45,CD(91일),연%
2017-04-10,1.45,CD(91일),연%
2017-04-11,1.45,CD(91일),연%
2017-04-12,1.43,CD(91일),연%
2017-04-13,1.43,CD(91일),연%
2017-04-14,1.42,CD(91일),연%
2017-04-17,1.42,CD(91일),연%
2017-04-18,1.42,CD(91일),연%
2017-04-19,1.42,CD(91일),연%
2017-04-20,1.42,CD(91일),연%
2017-04-21,1.42,CD(91일),연%
2017-04-24,1.42,CD(91일),연%
2017-04-25,1.42,CD(91일),연%
2017-04-26,1.41,CD(91일),연%
2017-04-27,1.41,CD(91일),연%
2017-04-28,1.41,CD(91일),연%
2017-05-02,1.41,CD(91일),연%
2017-05-04,1.41,CD(91일),연%
2017-05-08,1.41,CD(91일),연%
2017-05-10,1.41,CD(91일),연%
2017-05-11,1.4,CD(91일),연%
2017-05-12,1.4,CD(91일),연%
2017-05-15,1.4,CD(91일),연%
2017-05-16,1.4,CD(91일),연%
2017-05-17,1.39,CD(91일),연%
2017-05-18,1.39,CD(91일),연%
2017-05-19,1.39,CD(91일),연%
2017-05-22,1.39,CD(91일),연%
2017-05-23,1.38,CD(91일),연%
2017-05-24,1.38,CD(91일),연%
2017-05-25,1.38,CD(91일),연%
2017-05-26,1.38,CD(91일),연%
2017-05-29,1.38,CD(91일),연%
2017-05-30,1.38,CD(91일),연%
2017-05-31,1.38,CD(91일),연%
2017-06-01,1.38,CD(91일),연%
2017-06-02,1.38,CD(91일),연%
2017-06-05,1.38,CD(91일),연%
2017-06-07,1.38,CD(91일),연%
2017-06-08,1.38,CD(91일),연%
2017-06-09,1.38,CD(91일),연%
2017-06-12,1.38,CD(91일),연%
2017-06-13,1.38,CD(91일),연%
2017-06-14,1.38,CD(91일),연%
2017-06-15,1.38,CD(91일),연%
2017-06-16,1.38,CD(91일),연%
2017-06-19,1.38,CD(91일),연%
2017-06-20,1.38,CD(91일),연%
2017-06-21,1.38,CD(91일),연%
2017-06-22,1.38,CD(91일),연%
2017-06-23,1.38,CD(91일),연%
2017-06-26,1.38,CD(91일),연%
2017-06-27,1.38,CD(91일),연%
2017-06-28,1.38,CD(91일),연%
2017-06-29,1.38,CD(91일),연%
2017-06-30,1.38,CD(91일),연%
2017-07-03,1.38,CD(91일),연%
2017-07-04,1.38,CD(91일),연%
2017-07-05,1.38,CD(91일),연%
2017-07-06,1.39,CD(91일),연%
2017-07-07,1.39,CD(91일),연%
2017-07-10,1.39,CD(91일),연%
2017-07-11,1.39,CD(91일),연%
2017-07-12,1.39,CD(91일),연%
2017-07-13,1.39,CD(91일),연%
2017-07-14,1.39,CD(91일),연%
2017-07-17,1.39,CD(91일),연%
2017-07-18,1.39,CD(91일),연%
2017-07-19,1.39,CD(91일),연%
2017-07-20,1.39,CD(91일),연%
2017-07-21,1.39,CD(91일),연%
2017-07-24,1.39,CD(91일),연%
2017-07-25,1.39,CD(91일),연%
2017-07-26,1.39,CD(91일),연%
2017-07-27,1.39,CD(91일),연%
2017-07-28,1.39,CD(91일),연%
2017-07-31,1.39,CD(91일),연%
2017-08-01,1.39,CD(91일),연%
2017-08-02,1.39,CD(91일),연%
2017-08-03,1.39,CD(91일),연%
2017-08-04,1.39,CD(91일),연%
2017-08-07,1.39,CD(91일),연%
2017-08-08,1.39,CD(91일),연%
2017-08-09,1.39,CD(91일),연%
2017-08-10,1.39,CD(91일),연%
